legacy_file,symbol,kind,line,current_responsibility,target_owner,action,target_module,notes
exit_attribution.py,_rule_index_for_instance,function,85,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_metadata_for_rule,function,92,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_attribution_for_instance,function,109,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_agg_sl_tp_at_entry,function,132,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_pick_distance_instance,function,155,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_stop_hit_long,function,187,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_stop_hit_short,function,208,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,fill_price_for_distance_exit,function,229,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_levels_from_ratios,function,265,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,classify_exit_attribution,function,282,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,classify_exit_reason,function,401,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_policy_candidates.py,collect_exit_policy_bar_candidates,function,26,standard exit-policy candidate generation,strategy_engine,do_not_port,n/a,Strategy Engine response must contain these decisions.
exit_policy_candidates.py,_signal_candidates_for_bar,function,192,standard exit-policy candidate generation,strategy_engine,do_not_port,n/a,Strategy Engine response must contain these decisions.
exit_policy_candidates.py,profile_at_bar,function,227,standard exit-policy candidate generation,strategy_engine,do_not_port,n/a,Strategy Engine response must contain these decisions.
exits.py,PortfolioExitOutputs,class,33,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,compose_exit_signals,function,57,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_false_series,function,68,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_nan_series,function,72,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_rsi_column,function,76,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_distance_column,function,82,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_ema_column,function,88,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_signal_series_for_side,function,94,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_compile_signal_series,function,122,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_compile_distance_series,function,152,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_selected_series_by_profile,function,185,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_stop_ready,function,199,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,_stop_ready_by_profile,function,213,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
exits.py,build_exit_outputs_from_spec,function,223,strategy exit signal/level calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine.
managed_bar_open_candidates.py,_runtime_rule,function,28,managed exit candidate generation at bar open,strategy_engine/research_service seam,replace with contract,execution/candidate_adapter.py,Consume managed decisions; Research decides actual fill/arbitration.
managed_bar_open_candidates.py,collect_managed_bar_open_candidates,function,38,managed exit candidate generation at bar open,strategy_engine/research_service seam,replace with contract,execution/candidate_adapter.py,Consume managed decisions; Research decides actual fill/arbitration.
managed_comparison.py,baseline_vs_managed_summary_placeholder,function,8,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,trade_pair_key,function,22,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_closed_trades_by_pair_key,function,43,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,exit_layer_for_record,function,55,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_managed_exit_candidate_type,function,81,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_managed_exit_component_id,function,93,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_active_take_at_exit,function,105,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_comparison_entry,function,115,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_is_managed_stop_close,function,139,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_is_runtime_exit_close,function,149,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_take_disabled_at_exit,function,155,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,build_baseline_vs_managed_summary,function,160,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,derive_break_even_stop_view,function,229,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,_resolve_variant,function,246,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_comparison.py,apply_baseline_vs_managed_comparison_to_report,function,262,baseline/managed research reporting,research_service,port later/refactor,reports/managed_comparison.py,Reporting only; no runtime comparison mode.
managed_components/__init__.py,(module),module,1,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/activation.py,_phase_rank,function,6,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/activation.py,phase_at_least_met,function,10,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/atr.py,management_atr_key,function,11,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/atr.py,atr_value_at_bar,function,21,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/atr.py,finite_float,function,41,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/runtime_exit.py,RuntimeExitTrigger,class,29,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/runtime_exit.py,_runtime_exit_rule_to_exit_rule,function,37,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/runtime_exit.py,compile_runtime_exit_signal_series,function,64,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/runtime_exit.py,evaluate_runtime_exits,function,102,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/runtime_exit.py,runtime_exit_candidate_type,function,146,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/snapshot.py,ManagementEvaluationResult,class,42,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/snapshot.py,_management_event,function,48,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/snapshot.py,_stop_changed,function,78,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/snapshot.py,evaluate_management_layers,function,84,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,StopCandidate,class,26,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,apply_tighten_only_stop,function,32,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,merge_stop_candidates,function,45,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,evaluate_break_even_stop,function,57,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,evaluate_lock_profit_stop,function,90,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/stop.py,evaluate_stop_management,function,119,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/take.py,normalize_take_profile_action,function,22,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/take.py,TakeProfileSelection,class,27,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/take.py,take_profile_descriptor,function,33,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_components/take.py,evaluate_take_management,function,42,managed-policy calculation,strategy_engine,do_not_port,n/a,Already authoritative in Strategy Engine managed replay/evaluation.
managed_execution_loop.py,_OpenPosition,class,44,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,ManagedExecutionLoopResult,class,55,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,_trade_id,function,61,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,_exit_attribution_from_candidate,function,65,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,_precise_exit_layer,function,97,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,_exit_owner_for_layer,function,109,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,_close_events,function,115,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,run_managed_execution_loop,function,181,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_execution_loop.py,execution_result_to_managed_runtime_result,function,358,position lifecycle mixed with managed-policy evaluation,research_service,rewrite/split,execution/simulator.py,Consume policy decisions from Strategy Engine; retain only execution state/fills.
managed_exit_provider.py,EndOfBarProviderUpdate,class,38,runtime managed-policy provider,strategy_engine,do_not_port,n/a,Managed policy is computed by Strategy Engine.
managed_exit_provider.py,ManagedExitProvider,class,45,runtime managed-policy provider,strategy_engine,do_not_port,n/a,Managed policy is computed by Strategy Engine.
report_table.py,_flatten_metrics,function,10,terminal report presentation,research_service,port later,reports/console_table.py,Keep outside execution core.
report_table.py,comparison_row,function,28,terminal report presentation,research_service,port later,reports/console_table.py,Keep outside execution core.
report_table.py,_format_cell,function,74,terminal report presentation,research_service,port later,reports/console_table.py,Keep outside execution core.
report_table.py,print_comparison_table,function,82,terminal report presentation,research_service,port later,reports/console_table.py,Keep outside execution core.
result_models.py,LoadedCandles,class,10,legacy result DTOs,research_service,replace,domain/backtests.py,Define new immutable typed domain contracts.
result_models.py,SideMetrics,class,20,legacy result DTOs,research_service,replace,domain/backtests.py,Define new immutable typed domain contracts.
result_models.py,OpenTradesBreakdown,class,38,legacy result DTOs,research_service,replace,domain/backtests.py,Define new immutable typed domain contracts.
result_models.py,VariantMetrics,class,50,legacy result DTOs,research_service,replace,domain/backtests.py,Define new immutable typed domain contracts.
result_models.py,VariantResult,class,102,legacy result DTOs,research_service,replace,domain/backtests.py,Define new immutable typed domain contracts.
results.py,_repo_root,function,36,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,default_results_dir,function,40,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_run_id,function,44,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,sanitize_run_id_suffix,function,67,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_format_created_at,function,78,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_scalar_json_safe,function,86,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,json_safe,function,123,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_series_index_aligned,function,138,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_attribution_context_aligned,function,142,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_can_use_exit_attribution,function,156,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_context_state_label,function,177,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_profile_label,function,183,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_trade_fees_paid,function,189,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_gross_return_pct,function,200,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_closed_trades,function,214,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_profit_factor_from_pnls,function,218,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_avg_hold_bars,function,226,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_bucket_metrics,function,233,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_profile_bucket_metrics,function,252,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_profile_breakdown,function,262,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_profile_side_breakdown,function,274,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_exit_reason_breakdown,function,300,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_bounce_counter_breakdown,function,308,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_trade_quality_breakdowns,function,343,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_fee_diagnostics,function,351,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_index_to_open_time_ms,function,374,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,extract_trade_records,function,393,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_execution_integrated_trade_records,function,597,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_empty_managed_breakdown_entry,function,698,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_accumulate_managed_breakdown,function,702,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_managed_layer_breakdowns,function,715,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,baseline_vs_managed_summary_placeholder,function,763,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_research_run_payload,function,773,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,run_report_relpath,function,838,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,run_summary_report_relpath,function,842,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,_trade_record_counts,function,846,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,build_compact_report_payload,function,856,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
results.py,write_research_results,function,895,"trade normalization, metrics, artifact payload and writing",research_service,split/rewrite,accounting/ + reports/ + artifacts/,"Separate accounting, projections and persistence."
runner.py,run_strategy_specs_from_config,function,27,config-to-run orchestration,research_service,rewrite,application/backtests/run_backtest.py,Call StrategyEnginePort and MarketDataPort directly.
runner.py,run_strategy_specs_from_config_returning_paths,function,92,config-to-run orchestration,research_service,rewrite,application/backtests/run_backtest.py,Call StrategyEnginePort and MarketDataPort directly.
runner.py,_validated_specs_for_single_market,function,111,config-to-run orchestration,research_service,rewrite,application/backtests/run_backtest.py,Call StrategyEnginePort and MarketDataPort directly.
runner.py,_batch_success_metadata,function,128,config-to-run orchestration,research_service,rewrite,application/backtests/run_backtest.py,Call StrategyEnginePort and MarketDataPort directly.
signal_trace.py,UnsupportedTraceComponentError,class,74,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_rsi_column,function,96,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_false_series,function,102,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_bool_list,function,106,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_float_list,function,110,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_object_list,function,120,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_series_to_values,function,132,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_serialize_internals,function,140,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_index_to_times_sec,function,155,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,SideSignalTrace,class,162,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,ComponentEventData,class,175,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,SignalTraceBundleData,class,192,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_build_side_trace,function,202,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_resolve_feature_timeframe,function,376,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
signal_trace.py,_rising_edge_indices,function,383,strategy trace construction and Workbench projection,strategy_engine/research_service seam,split/replace,diagnostics/signal_trace_projector.py,Strategy evidence comes from Strategy Engine; Research projects DTO.
